date,url
2020-01-29,http://timesofindia.indiatimes.com//city/madurai/coronavirus-screening-begins-at-madurai-airport/articleshow/73710590.cms
2020-01-29,http://timesofindia.indiatimes.com//city/bareilly/mobile-med-units-at-pilibhit-kheri-checkposts-on-nepal-border-to-screen-people-for-coronavirus/articleshow/73709180.cms
2020-01-29,http://timesofindia.indiatimes.com//city/surat/coronavirus-may-impact-indias-polished-diamond-exports/articleshow/73710991.cms
2020-01-29,http://timesofindia.indiatimes.com//city/bengaluru/2-more-suspected-ncov-cases-in-hosp/articleshow/73709962.cms
2020-01-29,http://timesofindia.indiatimes.com//city/thiruvananthapuram/no-need-to-panic-over-ncov/articleshow/73709459.cms
2020-01-29,http://timesofindia.indiatimes.com//city/chandigarh/visit-nearby-hospitals-first-not-us-says-pgi/articleshow/73709518.cms
2020-01-29,http://timesofindia.indiatimes.com//city/pune/permanent-medical-unit-soon-to-screen-flyers-at-lohegaon-facility/articleshow/73709890.cms
2020-01-29,http://timesofindia.indiatimes.com//city/goa/one-placed-in-gmcs-isolation-ward-for-suspected-coronavirus/articleshow/73711542.cms
2020-01-29,http://timesofindia.indiatimes.com//city/dehradun/coronavirus-alert-in-ukhand-govt-hosps-cancel-docs-leaves/articleshow/73706523.cms
2020-01-29,http://timesofindia.indiatimes.com//city/chennai/coronavirus-no-facility-at-city-airport-to-handle-infected-flyers/articleshow/73709947.cms
2020-01-29,http://timesofindia.indiatimes.com//city/bhopal/three-member-team-at-gmc-to-deal-with-coronavirus-scare/articleshow/73709934.cms
2020-01-29,http://timesofindia.indiatimes.com//city/mumbai/juhu-resident-back-from-wuhan-epicentre-of-ncov-quarantined/articleshow/73707083.cms
2020-01-29,http://timesofindia.indiatimes.com//city/hyderabad/city-icmr-lab-among-four-across-india-to-detect-ncov/articleshow/73711603.cms
2020-01-29,http://timesofindia.indiatimes.com//city/hyderabad/create-awareness-on-ncov-expert-team/articleshow/73711608.cms
2020-01-29,http://timesofindia.indiatimes.com//city/nagpur/stay-alert-about-coronavirus-but-no-need-to-panic-experts/articleshow/73710078.cms
2020-01-30,http://timesofindia.indiatimes.com//city/patna/ssb-alerts-personnel-on-nepal-border/articleshow/73742937.cms
2020-01-30,http://timesofindia.indiatimes.com//city/hyderabad/state-authorities-to-test-for-ncov-twice/articleshow/73745473.cms
2020-01-30,http://timesofindia.indiatimes.com//city/trichy/spl-desk-at-trichy-airport-to-screen-coronavirus/articleshow/73745812.cms
2020-01-30,http://timesofindia.indiatimes.com//city/madurai/eight-bed-isolation-ward-for-coronavirus-patients-inaugurated/articleshow/73745834.cms
2020-01-30,http://timesofindia.indiatimes.com//city/ahmedabad/hotels-put-coronavirus-precautions-in-place/articleshow/73745908.cms
2020-01-30,http://timesofindia.indiatimes.com//city/ahmedabad/183-families-approach-govt-to-bring-back-kin-from-china/articleshow/73745969.cms
2020-01-30,http://timesofindia.indiatimes.com//city/ghaziabad/woman-quarantined-coronavirus-tests-on/articleshow/73746156.cms
2020-01-30,http://timesofindia.indiatimes.com//city/pune/two-more-isolated-to-rule-out-coronavirus-infection/articleshow/73746118.cms
2020-01-30,http://timesofindia.indiatimes.com//city/vadodara/coronavirus-scare-group-of-10-medical-students-return-from-china/articleshow/73746196.cms
2020-01-30,http://timesofindia.indiatimes.com//city/bengaluru/shift-us-to-private-hosps-or-let-us-go-home-say-patients/articleshow/73745840.cms
2020-01-30,http://timesofindia.indiatimes.com//city/jaipur/bookings-of-tourists-from-china-to-raj-get-cancelled/articleshow/73746400.cms
2020-01-30,http://timesofindia.indiatimes.com//city/visakhapatnam/no-coronavirus-threat-from-chinese-crew-at-vizag-port/articleshow/73744786.cms
2020-01-30,http://timesofindia.indiatimes.com//city/jaipur/medico-tests-negative-for-coronavirus-another-quarantined-at-sms-hospital/articleshow/73746423.cms
2020-01-30,http://timesofindia.indiatimes.com//city/kolkata/port-lens-on-coronavirus-at-kol-haldia-budge-budge/articleshow/73746527.cms
2020-01-30,http://timesofindia.indiatimes.com//city/bhopal/coronavirus-scare-health-dept-overlooks-who-protocol/articleshow/73745093.cms
2020-01-30,http://timesofindia.indiatimes.com//city/chandigarh/patient-at-pgi-tested-negative-for-coronavirus/articleshow/73743666.cms
2020-01-30,http://timesofindia.indiatimes.com//city/dehradun/social-media-spreading-fake-news-on-coronavirus-ukhand-health-dept/articleshow/73740518.cms
2020-01-30,http://timesofindia.indiatimes.com//city/chennai/avoiding-ice-creams-may-not-save-you-from-coronavirus-but-washing-hands-will/articleshow/73745429.cms
2020-01-30,http://timesofindia.indiatimes.com//city/hyderabad/one-roof-treatment-centre-for-corona-other-virus-soon/articleshow/73745431.cms
2020-01-31,http://timesofindia.indiatimes.com//india/indias-1st-coronavirus-case-reported-in-kerala/articleshow/73782800.cms
2020-01-31,http://timesofindia.indiatimes.com//city/patna/thermal-scanners-to-be-installed-at-gaya-airport-today/articleshow/73778668.cms
2020-01-31,http://timesofindia.indiatimes.com//city/patna/coronavirus-safe-chhapra-girl-discharged-from-pmch/articleshow/73778656.cms
2020-01-31,http://timesofindia.indiatimes.com//city/bhopal/gwalior-hosp-tells-coronavirus-suspect-to-go-home/articleshow/73780980.cms
2020-01-31,http://timesofindia.indiatimes.com//city/goa/rane-thermal-screening-at-goa-airport/articleshow/73781371.cms
2020-01-31,http://timesofindia.indiatimes.com//city/mangaluru/rationalists-decry-centres-advisory-on-coronavirus/articleshow/73779802.cms
2020-01-31,http://timesofindia.indiatimes.com//city/vadodara/three-advised-home-quarantine-in-vadodara/articleshow/73781456.cms
2020-01-31,http://timesofindia.indiatimes.com//city/dehradun/mbbs-student-studying-in-china-suspected-to-be-infected-with-coronavirus-admitted-in-aiims-rishikesh/articleshow/73780003.cms
2020-01-31,http://timesofindia.indiatimes.com//city/madurai/voc-port-tightens-measures-to-prevent-coronavirus-outbreak/articleshow/73781818.cms
2020-01-31,http://timesofindia.indiatimes.com//city/bengaluru/suspected-coronavirus-cases-to-be-treated-at-4-pvt-hospitals-too/articleshow/73779122.cms
2020-01-31,http://timesofindia.indiatimes.com//city/pune/3-travellers-test-negative-for-novel-coronavirus-infection/articleshow/73781886.cms
2020-01-31,http://timesofindia.indiatimes.com//city/delhi/three-isolated-at-rml-test-negative-for-coronavirus/articleshow/73781941.cms
2020-01-31,http://timesofindia.indiatimes.com//city/ahmedabad/43-china-arrivals-screened-virus-not-detected/articleshow/73782117.cms
2020-01-31,http://timesofindia.indiatimes.com//city/mumbai/home-after-7-day-isolation-for-ncov-kalyan-man-relieved/articleshow/73780589.cms
2020-01-31,http://timesofindia.indiatimes.com//city/bhopal/yale-prof-warns-over-handling-of-coronavirus-cases/articleshow/73780739.cms
2020-01-31,http://timesofindia.indiatimes.com//city/mumbai/3-discharged-from-kasturba-hosp-now-2-foreign-nationals-admitted/articleshow/73780684.cms
2020-01-31,http://timesofindia.indiatimes.com//city/mumbai/central-health-team-to-visit-maha/articleshow/73780786.cms
2020-01-31,http://timesofindia.indiatimes.com//india/coronavirus-hospital-turns-away-suspect-now-hunt-is-on/articleshow/73786514.cms
2020-02-01,http://timesofindia.indiatimes.com//india/ai-lifts-366-from-wuhan-to-be-isolated-in-delhi-ncr-camps/articleshow/73819320.cms
2020-02-01,http://timesofindia.indiatimes.com//city/kolkata/keralas-coronavirus-patient-passed-via-kolkata-last-week/articleshow/73816978.cms
2020-02-01,http://timesofindia.indiatimes.com//city/kolkata/niced-to-test-asansol-mans-samples/articleshow/73817020.cms
2020-02-01,http://timesofindia.indiatimes.com//city/nagpur/safety-step-aiims-nagpur-reserves-two-beds-for-coronavirus-suspects/articleshow/73817217.cms
2020-02-01,http://timesofindia.indiatimes.com//city/vijayawada/state-issues-coronavirus-alert-to-all-ports-airports/articleshow/73815735.cms
